SKU,Description,Vendor,Material Type,09/08/2025,09-15-2025,09/22/2025,09-29-2025,10/06/2025,10-13-2025,10/20/2025,10-27-2025,11/03/2025,11-10-2025,11/17/2025,11-24-2025,12/01/2025,12-08-2025,12/15/2025
PC-4410,"Satin Black Topcoat, 5L",Northwind Coatings,Paint,240,226,212,198,184,170,356,342,328,314,300,286,472,458,444
PC-4415,"Satin White Topcoat, 5L",Northwind Coatings,Paint,300,278,256,234,212,440,418,396,374,352,330,558,536,514,492
PC-4420,"Primer Grey, 20L",Northwind Coatings,Paint,180,171,162,153,144,135,126,117,258,249,240,231,222,213,204
WD-2201,"Jamb Extension 6-5/8 x 96, Primed",Cedarline Mouldings,Wood,820,774,728,682,1236,1190,1144,1098,1052,1006,1560,1514,1468,1422,1376
WD-2208,"Jamb Extension 7-5/8 x 96, Primed",Cedarline Mouldings,Wood,640,609,578,547,516,485,454,923,892,861,830,799,768,737,706
HW-9001,"Hinge, 4in Satin Nickel",Ferrus Hardware,Hardware,1500,1422,1344,2466,2388,2310,2232,2154,2076,3198,3120,3042,2964,2886,2808
HW-9014,"Strike Plate, Adjustable",Ferrus Hardware,Hardware,900,860,820,780,740,700,1360,1320,1280,1240,1200,1160,1120,1080,1040
PC-4488,"Clear Lacquer, 5L",Northwind Coatings,Paint,60,60,60,60,60,48,48,48,48,48,48,40,40,40,40
WD-2290,"Sill Nosing, Oak, 84in",Cedarline Mouldings,Wood,45,45,45,45,45,45,45,30,30,30,30,30,30,30,30
HW-9077,"Astragal Bolt Kit",Ferrus Hardware,Hardware,120,120,120,120,90,90,90,90,90,65,65,65,65,65,65
PC-4499,"Metallic Bronze Topcoat, 5L",Northwind Coatings,Paint,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
WD-2299,"Transom Trim, Discontinued Profile",Cedarline Mouldings,Wood,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
HW-9099,"Lockset, Legacy Series",Ferrus Hardware,Hardware,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
